bw,delay,loss,queue,packet_loss_ratio,rtt,jitter,throughput
10,28.886187910107477,2,100,0,92.22,38.85050836218234,10.5
50,41.35750481169603,0,100,0,151.2,61.430448476305294,52.4
5,48.38349026027573,0,200,0,164.4,75.955908262623,5.25
10,36.86124822181833,0,50,0,107.74,40.39805688396411,10.5
10,17.471210360667985,2,50,0,62.26,24.61550324490645,10.5
10,49.9493025944005,2,100,0,161.4,78.17480412511438,10.5
10,13.800926674226615,0,200,0,43.76,8.130990099612717,10.5
50,40.02890023575126,2,50,20,129.35,41.78464630299826,52.4
20,16.963420968893594,0,200,0,74.12,26.085187367546357,21.0
20,5.0703863273659415,1,50,0,19.24,7.5533436304725345,20.8
10,20.93360920131185,5,50,20,59.25,7.869985175759013,10.5
20,44.65205935491116,2,100,0,119.8,36.83340874803743,20.9
5,19.172942900327744,5,200,0,110.2,62.636211571262834,5.24
50,28.959298418668766,1,50,0,80.84,23.471535953149722,52.4
5,31.5093597036698,1,50,0,100.84,38.04382998595173,5.25
5,32.048887604373334,5,100,0,113.28,50.97834834515532,5.23
10,32.615607210773334,1,50,0,122.52,68.76072280015678,10.5
10,26.250492017620086,1,50,0,77.12,27.257145852051348,10.5
20,21.36245410672683,5,50,20,69.375,23.142223315835494,21.0
50,37.274205393547106,2,50,0,104.8,34.75722946381083,51.6
50,22.32231569764749,2,100,0,91.8,47.460141171302894,52.4
20,20.580291771784765,2,200,0,65.62,27.01808653476408,20.9
50,18.400713407712885,1,100,0,53.94,27.6832620910181,52.2
10,44.75121777325346,1,200,0,128.2,34.01029255975315,10.5
20,15.59509858722407,5,50,0,46.64,19.49379388420838,21.0
20,49.51213266473059,2,50,0,155.6,59.13797426358126,20.9
10,22.056233311197865,1,50,0,74.44,19.246636069713585,10.5
10,29.74245376066437,5,50,0,92.82,40.988193422008735,10.5
50,9.748953620767422,2,100,20,36.324999999999996,16.477737506506568,52.4
5,49.06068187432537,5,50,0,136.2,46.418746213141084,5.24
50,31.11358778178357,2,200,0,90.25999999999999,27.110016599035863,52.2
20,46.09123720734623,5,200,0,123.14,45.27336965590257,20.9
20,49.805469631389876,0,100,0,134.2,50.58359417834996,20.9
10,36.14711825817198,2,100,0,108.92,39.15146229708413,10.5
5,46.76377875973699,2,100,0,168.2,24.118457662130886,5.24
10,49.3922784906405,1,200,0,149.6,47.2207581472386,10.5
20,30.754157728123797,1,100,0,89.84,29.373934023211806,21.0
20,20.96624041351992,0,100,0,72.86,19.54860608841459,20.9
5,27.076658569413635,0,100,0,87.92,20.439838551221484,5.25
50,13.514555526224818,1,50,0,42.480000000000004,19.70055836772146,52.2
5,22.06679069508069,0,100,0,67.94,28.53345404958888,5.24
20,34.49454576947083,0,50,0,92.46,32.06864512261159,21.0
20,49.733172948365656,5,100,0,156.2,46.202813767128944,21.0
10,8.057536228733799,1,100,0,27.32,10.526015390450462,10.5
10,13.42734973330031,2,200,20,46.4,17.90809872655386,10.5
10,28.215062566808307,1,50,0,131.68,48.23600315117329,10.5
10,26.408069126322737,0,100,0,84.6,41.76751129765813,10.5
10,22.821978021710667,1,200,0,71.18,22.238974796514338,10.5
20,18.392438524226463,1,50,0,53.22,16.607889691348507,21.0
10,40.766677979787154,1,50,0,159.14,61.433687826794184,10.5
50,11.701737513040687,1,200,0,37.22,15.756490726046836,52.4
50,5.147501669236541,1,200,0,16.74,4.19201622134266,52.4
5,39.567625197660135,5,200,0,160.6,64.25184822244415,5.18
5,42.83140037336292,2,200,0,138.68,39.59939393475612,5.23
20,37.09764180310982,0,200,0,147.74,78.64145217377411,21.0
5,39.46402285375967,1,50,0,124.06,39.243700131358665,5.24
5,20.6571503182115,2,50,0,57.06,20.41036501388449,5.23
50,17.730996160554948,2,50,0,55.08,18.34521736039124,52.4
20,9.86388655492518,2,200,0,28.86,11.689439678615908,21.0
20,33.98584381571473,2,200,0,99.24,34.27962951958495,20.9
5,11.45286255884691,5,100,20,72.625,26.438403254861417,5.25
5,44.86630538898118,5,50,0,133.0,37.841775856849004,5.24
5,24.590428818176083,5,200,0,100.56,60.2650230233093,5.25
20,23.239952092319506,0,200,0,63.0,22.430336600238526,20.9
5,17.454402056005282,5,50,0,54.879999999999995,20.784778083972892,5.25
10,5.283333930393187,0,200,0,56.2,49.263170827708606,10.5
20,13.207078685294999,1,50,0,53.84,24.383354978345373,21.0
20,40.678872570252345,0,100,0,117.4,33.55286872981206,21.0
20,48.41572546101757,5,200,20,155.25,66.28913938195306,20.9
10,22.066010503048687,5,100,20,76.325,26.587387360676615,10.5
10,13.29922745905903,2,100,0,78.78,31.38792761556583,10.5
5,26.941851244427635,5,200,0,93.02,31.503126828935567,5.25
50,19.38308107702959,2,200,0,86.14,41.41519044988203,52.4
10,46.18752555078972,2,200,0,144.8,48.22032766375608,10.5
20,13.203499680269228,0,100,0,43.96,22.70854464733484,21.0
5,5.247129739753695,5,50,20,26.85,16.99499926448954,5.25
5,5.085267944858868,2,200,0,19.1,6.378479442625805,5.25
10,27.996500034132126,1,200,40,109.56666666666666,27.80221813692809,10.5
